id,filename,intended_use,direction,prompt_summary
16,16-light-readme-hero.png,Light README hero,Light editorial repository banner,"White and Cloud evidence card with cobalt rail, four-bar mark, SynthFlag wordmark, and Evidence before certainty."
17,17-dark-readme-hero.png,Dark README hero,Deep-signal repository banner,"Ink field with approved Deep Signal panel, four-bar mark, SynthFlag wordmark, and Confidence with context."
18,18-github-social-preview.png,GitHub social preview,Thumbnail-first evidence card,"Cloud field and white rounded card with cobalt rail, four-bar mark, SynthFlag wordmark, and From pixels to evidence."
19,19-launch-card.png,Launch announcement,Signal-cobalt launch system,"Cobalt field around a white editorial card with thin rules, four-bar mark, SynthFlag, and Inspect the signal."
20,20-release-card.png,Release announcement,Modular open-source release card,"White and Cloud modular card with cobalt accents, four-bar mark, SynthFlag, and Designed for the wild without version claims."
21,21-docs-header.png,Documentation header,Technical editorial header,"Wide Cloud and white header with cobalt rail, measurement rules, four-bar mark, SynthFlag, and Confidence with context."
22,22-blog-header.png,Blog header,Research-journal editorial,"Wide white and Cloud composition with cropped four-bar mark, SynthFlag, and Evidence before certainty."
23,23-linkedin-landscape.png,LinkedIn landscape,Institutional split field,"White and cobalt two-column social card with four-bar mark, SynthFlag, and From pixels to evidence."
24,24-x-landscape.png,X landscape,Dark feed-first poster,"Ink frame and cobalt rounded card with large SynthFlag type, four-bar mark, and Inspect the signal."
25,25-square-social-tile.png,Square social tile,Modular evidence-card grid,"Square nested evidence cards in Cloud and white with cobalt block, four-bar mark, SynthFlag, and Evidence before certainty."
26,26-story-portrait-tile.png,Story or portrait tile,Vertical signal-field poster,"Approved Signal Field portrait with four-bar mark, monumental SynthFlag wordmark, and a white promise card."
27,27-presentation-cover.png,Presentation cover,Signal-field title slide,"White-framed approved Signal Field panel with large SynthFlag wordmark, four-bar mark, and From pixels to evidence."
28,28-closing-slide.png,Presentation closing slide,Deep Signal closing statement,"Approved Deep Signal rounded panel with four-bar mark, SynthFlag wordmark, thin rule, and Evidence before certainty."
29,29-webinar-cover.png,Webinar cover,Open research-event template,"Cloud and white event cover with cobalt four-bar mark, SynthFlag, Confidence with context, and open space for future details."
30,30-email-newsletter-header.png,Email or newsletter header,Compact editorial masthead,"Wide Cloud masthead with centered four-bar mark, SynthFlag wordmark, thin rule, and Specific calm qualified."
