id,filename,intended_use,direction,prompt_summary
31,31-transparent-sticker.png,Transparent die-cut sticker,Compact identity lockup,"Four skewed cobalt bars, exact SynthFlag wordmark, white keyline, genuine transparent background"
32,32-circular-badge.png,Circular event badge,Institutional roundel,"Cobalt ring, cloud field, four-bar mark, exact SynthFlag wordmark"
33,33-conference-lanyard-card.png,Conference lanyard credential,Editorial physical mockup,"Front-facing printed credential, cobalt lanyard, cropped signal motif, exact SynthFlag wordmark"
34,34-research-poster.png,Research poster,Swiss editorial grid,"Portrait measured grid, cropped cobalt bar system, rounded cloud structures, exact SynthFlag wordmark"
35,35-report-cover.png,Research report cover,Formal evidence system,"Cobalt spine, thin measurement rules, blank rounded evidence panels, exact SynthFlag wordmark"
36,36-one-page-brief-cover.png,One-page briefing cover,Practical research brief,"Oversized cobalt wordmark, four-bar mark, three empty context panels, generous white space"
37,37-business-card-front.png,Business card front,Minimal typographic identity,"Horizontal white card, compact four-bar mark, exact SynthFlag wordmark, line-blue rule"
38,38-business-card-back.png,Business card back,Bold signal field,"Oversized cropped four-bar rhythm with a small exact SynthFlag signature"
39,39-conference-slide-title.png,Conference title slide,Calm keynote system,"Large ink wordmark, compact four-bar mark, approved signal-field band, blank evidence panel"
40,40-meetup-flyer.png,Meetup flyer,Independent studio poster,"Vertical cobalt and cloud bar rhythm, screenprint texture, exact SynthFlag wordmark"
41,41-laptop-wallpaper.png,Laptop wallpaper,Measured desktop field,"Quiet line-blue modular grid, four large cobalt bars, small exact SynthFlag signature"
42,42-mobile-wallpaper.png,Mobile wallpaper,Deep signal portrait,"Approved cobalt gradient, four pale bars in the lower half, clear top safe area, exact SynthFlag signature"
43,43-press-kit-cover.png,Press-kit cover,Institutional communications system,"Identity lockup beside blank rounded components, thin rules, restrained signal-gradient circle"
44,44-dataset-card.png,Reusable dataset card,Context-first component template,"Rounded cloud evidence card, blank structured fields and chips, four-bar mark, no invented data"
45,45-thank-you-end-card.png,Presentation closing card,Confident deep-signal finale,"Deep cobalt field, giant cropped white four-bar mark, exact SynthFlag wordmark, pale rule"
