id,filename,intended_use,direction,prompt_summary
01,01-primary-four-bar-mark.png,Primary standalone logo,Core signal mark,"Four cobalt skewed rounded bars; outer bars short and inner bars tall; transparent field"
02,02-inverse-mark.png,Inverse logo use,Core inverse,"Four white skewed rounded bars centered on a cobalt field"
03,03-horizontal-wordmark.png,Headers and horizontal placements,Primary wordmark,"Cobalt four-bar mark paired with exact SynthFlag wordmark in ink on transparency"
04,04-stacked-lockup.png,Centered and narrow placements,Stacked identity,"Four-bar cobalt mark above the exact SynthFlag wordmark on transparency"
05,05-square-app-icon.png,Application icon,Product icon,"White four-bar mark centered on a cobalt rounded square"
06,06-repo-avatar.png,GitHub repository avatar,Thumbnail identity,"Cobalt four-bar mark composed for circular-safe repository-avatar use"
07,07-favicon-tile.png,Favicon source tile,Micro icon,"Simplified four-bar symbol with heavier geometry for 16- and 32-pixel use"
08,08-monochrome-mark.png,Single-color print and utility use,Monochrome mark,"One-color ink rendering of the four-bar signal on transparency"
09,09-cobalt-only-mark.png,UI labels and cobalt-only reproduction,Cobalt utility mark,"Compact one-color cobalt rendering of the four-bar signal"
10,10-ink-only-wordmark.png,Typography-only placements,Wordmark only,"Exact SynthFlag name in a restrained Instrument Sans-style ink wordmark"
11,11-compact-pill-lockup.png,Navigation and compact headers,Pill lockup,"Four-bar mark and exact SynthFlag wordmark inside a thin line-blue white pill"
12,12-outlined-mark.png,Lightweight technical accents,Outline mark,"Uniform cobalt outline rendering of the four rounded bars with transparent interiors"
13,13-small-size-mark.png,Small UI controls and dense layouts,Small-size optimization,"Extra-thick cobalt four-bar silhouette with enlarged gaps for downscaling"
14,14-wide-masthead.png,Repository and documentation masthead,Editorial masthead,"Wide Swiss-editorial SynthFlag lockup with Evidence Before Certainty supporting line"
15,15-minimal-endorsement-lockup.png,Report and evidence-card footers,Endorsement signature,"Compact four-bar mark followed by the exact Evidence by SynthFlag phrase"
